ensembl_gene_id	hsapiens_homolog_ensembl_gene	external_gene_name
ENSRNOG00000017469	ENSG00000135046	Anxa1
ENSRNOG00000005610	ENSG00000119820	Yipf4
ENSRNOG00000007334	ENSG00000176956	Ly6h
ENSRNOG00000057957	ENSG00000176092	Crybg2
ENSRNOG00000059744	ENSG00000253719	Atxn7l3b
ENSRNOG00000005249	ENSG00000129515	Snx6
ENSRNOG00000011310	ENSG00000112541	Pde10a
ENSRNOG00000014714	ENSG00000165125	Trpv6
ENSRNOG00000066559	ENSG00000221938	Or2a14
ENSRNOG00000013657	ENSG00000197457	Stmn3
ENSRNOG00000067643	ENSG00000211951	
ENSRNOG00000067643	ENSG00000274576	
ENSRNOG00000067643	ENSG00000211974	
ENSRNOG00000067643	ENSG00000211937	
ENSRNOG00000067643	ENSG00000259303	
ENSRNOG00000046803	ENSG00000130762	Arhgef16
ENSRNOG00000062899	ENSG00000181961	Or4a69
ENSRNOG00000019381	ENSG00000117419	Eri3
ENSRNOG00000023023	ENSG00000149743	Trpt1
ENSRNOG00000030294	ENSG00000143924	Eml4
ENSRNOG00000009015	ENSG00000086102	Nfx1
ENSRNOG00000022632	ENSG00000102387	Taf7l-ps1
ENSRNOG00000004269	ENSG00000186487	Myt1l
ENSRNOG00000017911	ENSG00000198420	Tcaf1
ENSRNOG00000030316	ENSG00000165899	Otogl
ENSRNOG00000004262	ENSG00000069275	LOC102546716
ENSRNOG00000069459	ENSG00000131914	Lin28a
ENSRNOG00000059810	ENSG00000197763	Txnrd3
ENSRNOG00000039902	ENSG00000213626	Lbh
ENSRNOG00000019528	ENSG00000008323	Plekhg6
ENSRNOG00000021161	ENSG00000149781	Fermt3
ENSRNOG00000065812	ENSG00000258817	Olr655
ENSRNOG00000065812	ENSG00000185926	Olr655
ENSRNOG00000070063	ENSG00000204983	Try5
ENSRNOG00000070063	ENSG00000275896	Try5
ENSRNOG00000070063	ENSG00000010438	Try5
ENSRNOG00000067034	ENSG00000211950	
ENSRNOG00000067034	ENSG00000280411	
ENSRNOG00000067034	ENSG00000281990	
ENSRNOG00000067034	ENSG00000211973	
ENSRNOG00000015403	ENSG00000169442	Cd52
ENSRNOG00000026875	ENSG00000127540	LOC100362798
ENSRNOG00000053111	ENSG00000280894	LOC120102740
ENSRNOG00000046975	ENSG00000130540	Sult4a1
ENSRNOG00000001597	ENSG00000115966	Atf2
ENSRNOG00000032348	ENSG00000182899	LOC103690996
ENSRNOG00000013963	ENSG00000134352	Il6st
ENSRNOG00000023449	ENSG00000181652	Atg9b
ENSRNOG00000014463	ENSG00000105176	Uri1
ENSRNOG00000064482	ENSG00000087086	LOC100360087
ENSRNOG00000020196	ENSG00000149021	Scgb1a1
ENSRNOG00000025487	ENSG00000184857	AABR07057217.1
ENSRNOG00000019407	ENSG00000178028	Dmap1
ENSRNOG00000009595	ENSG00000204859	Zbtb48
ENSRNOG00000023816	ENSG00000117362	Aph1a
ENSRNOG00000004657	ENSG00000100934	Sec23a
ENSRNOG00000030441	ENSG00000124614	RGD1561871
ENSRNOG00000033202	ENSG00000163013	Fbxo41
ENSRNOG00000067024	ENSG00000253048	LOC120102560
ENSRNOG00000008683	ENSG00000171094	Alk
ENSRNOG00000067897	ENSG00000224650	
ENSRNOG00000067897	ENSG00000271178	
ENSRNOG00000001854	ENSG00000133687	Tmtc1
ENSRNOG00000050416	ENSG00000143105	Kcna10
ENSRNOG00000064654	ENSG00000181939	Or4c115
ENSRNOG00000053430	ENSG00000101187	Slco4a1
ENSRNOG00000037406	ENSG00000163263	Cfap141
ENSRNOG00000015750	ENSG00000188064	Wnt7b
ENSRNOG00000014424	ENSG00000149633	Kiaa1755
ENSRNOG00000017752	ENSG00000131844	Mccc2
ENSRNOG00000006321	ENSG00000197498	RGD1560842
ENSRNOG00000064138	ENSG00000163904	LOC120093621
ENSRNOG00000016312	ENSG00000188782	Catsper4
ENSRNOG00000018367	ENSG00000177156	Taldo1
ENSRNOG00000015321	ENSG00000079931	Moxd1
ENSRNOG00000053700	ENSG00000134548	Spx
ENSRNOG00000066894	ENSG00000170379	Tcaf2c
ENSRNOG00000066894	ENSG00000283528	Tcaf2c
ENSRNOG00000010077	ENSG00000082014	Smarcd3
ENSRNOG00000020539	ENSG00000185499	Muc1
ENSRNOG00000071152	ENSG00000224650	
ENSRNOG00000071152	ENSG00000271178	
ENSRNOG00000004360	ENSG00000092208	Gemin2
ENSRNOG00000062312	ENSG00000279514	Or4c104
ENSRNOG00000029079	ENSG00000173641	Hspb7
ENSRNOG00000023320	ENSG00000117472	Tspan1
ENSRNOG00000055790	ENSG00000143552	Nup210l
ENSRNOG00000069061	ENSG00000163904	LOC120093867
ENSRNOG00000012229	ENSG00000164458	Tbxt
ENSRNOG00000016316	ENSG00000073111	Mcm2
ENSRNOG00000027646	ENSG00000105171	Pop4
ENSRNOG00000011781	ENSG00000178814	Oplah
ENSRNOG00000017523	ENSG00000049239	H6pd
ENSRNOG00000008596	ENSG00000131044	Ttll9
ENSRNOG00000016148	ENSG00000075218	Gtse1
ENSRNOG00000008806	ENSG00000115295	Clip4
ENSRNOG00000065562	ENSG00000163904	
ENSRNOG00000068113	ENSG00000186886	Olfr1177
ENSRNOG00000067737	ENSG00000133657	
ENSRNOG00000019065	ENSG00000144331	Zfp385b
ENSRNOG00000013000	ENSG00000111716	Ldhb
ENSRNOG00000033984	ENSG00000185436	Ifnlr1
ENSRNOG00000021134	ENSG00000143412	Anxa9
ENSRNOG00000004527	ENSG00000111052	Lin7a
ENSRNOG00000027102	ENSG00000187833	C1h2orf78
ENSRNOG00000016076	ENSG00000159763	Pip
ENSRNOG00000014431	ENSG00000137100	AABR07000222.1
ENSRNOG00000019842	ENSG00000117407	Artn
ENSRNOG00000070987	ENSG00000163904	LOC120093868
ENSRNOG00000004696	ENSG00000100852	Arhgap5
ENSRNOG00000052803	ENSG00000134545	Klri1
ENSRNOG00000052803	ENSG00000183542	Klri1
ENSRNOG00000052803	ENSG00000205810	Klri1
ENSRNOG00000052803	ENSG00000205809	Klri1
ENSRNOG00000015067	ENSG00000183260	Tpd52l2
ENSRNOG00000019846	ENSG00000117983	Muc5b
ENSRNOG00000048832	ENSG00000154007	Asb17
ENSRNOG00000063322	ENSG00000172188	Or4c11
ENSRNOG00000007982	ENSG00000090020	Slc9a1
ENSRNOG00000027513	ENSG00000258366	Rtel1
ENSRNOG00000011399	ENSG00000179021	LOC100912436
ENSRNOG00000059753	ENSG00000111713	Gys2
ENSRNOG00000008942	ENSG00000179270	Pcare
ENSRNOG00000023452	ENSG00000175262	LOC691354
ENSRNOG00000021081	ENSG00000163159	Vps72
ENSRNOG00000011885	ENSG00000131941	Rhpn2
ENSRNOG00000033952	ENSG00000171320	AABR07057438.1
ENSRNOG00000013547	ENSG00000111181	Slc6a12
ENSRNOG00000032570	ENSG00000077935	Smc1b
ENSRNOG00000030641	ENSG00000182183	Shisal2a
ENSRNOG00000070909	ENSG00000211772	
ENSRNOG00000070909	ENSG00000211751	
ENSRNOG00000056156	ENSG00000204178	Maco1
ENSRNOG00000009348	ENSG00000164867	Nos3
ENSRNOG00000008133	ENSG00000100060	Mfng
ENSRNOG00000001588	ENSG00000128714	Hoxd13
ENSRNOG00000019735	ENSG00000132768	Dph2
ENSRNOG00000052087	ENSG00000137073	Ubap2
ENSRNOG00000019807	ENSG00000107882	Sufu
ENSRNOG00000069856	ENSG00000188846	
ENSRNOG00000063578	ENSG00000258817	Or4c105
ENSRNOG00000063578	ENSG00000185926	Or4c105
ENSRNOG00000024815	ENSG00000171695	Lkaaear1
ENSRNOG00000012933	ENSG00000143294	Prcc
ENSRNOG00000064127	ENSG00000177468	Olig3
ENSRNOG00000057643	ENSG00000134545	Klri2
ENSRNOG00000057643	ENSG00000183542	Klri2
ENSRNOG00000057643	ENSG00000205810	Klri2
ENSRNOG00000057643	ENSG00000205809	Klri2
ENSRNOG00000021138	ENSG00000143418	Cers2
ENSRNOG00000014169	ENSG00000231500	RGD1562404
ENSRNOG00000018602	ENSG00000171735	Camta1
ENSRNOG00000038165	ENSG00000204311	Pjvk
ENSRNOG00000015685	ENSG00000167700	Mfsd3
ENSRNOG00000013293	ENSG00000078070	Mccc1
ENSRNOG00000063903	ENSG00000127540	LOC120097699
ENSRNOG00000033502	ENSG00000128408	Ribc2
ENSRNOG00000037027	ENSG00000204518	LOC691196
ENSRNOG00000070586	ENSG00000176381	Prr18
ENSRNOG00000034174	ENSG00000186191	Bpifb3
ENSRNOG00000001514	ENSG00000144354	Cdca7
ENSRNOG00000055675	ENSG00000208772	Snord94
ENSRNOG00000010466	ENSG00000033100	Chpf2
ENSRNOG00000019100	ENSG00000142945	Kif2c
ENSRNOG00000016810	ENSG00000117632	Stmn1
ENSRNOG00000049349	ENSG00000219438	Tafa5
ENSRNOG00000065210	ENSG00000279514	Or4c29
ENSRNOG00000006278	ENSG00000180543	Tspyl5
ENSRNOG00000010005	ENSG00000133597	Ndufb2
ENSRNOG00000032446	ENSG00000160957	Recql4
ENSRNOG00000027191	ENSG00000115760	Birc6
ENSRNOG00000033517	ENSG00000133112	LOC100360791
ENSRNOG00000006976	ENSG00000133997	Med6
ENSRNOG00000060849	ENSG00000167771	Rcor2
ENSRNOG00000065348	ENSG00000198807	Pax9
ENSRNOG00000069009	ENSG00000181939	Or4c15
ENSRNOG00000055111	ENSG00000157456	Ccnb2-ps2
ENSRNOG00000052814	ENSG00000105186	Ankrd27
ENSRNOG00000018317	ENSG00000115977	Aak1
ENSRNOG00000019716	ENSG00000185652	Ntf3
ENSRNOG00000015558	ENSG00000196700	Zfp512b
ENSRNOG00000012091	ENSG00000138777	Ppa2
ENSRNOG00000060246	ENSG00000134539	Klrd1
ENSRNOG00000024743	ENSG00000100395	L3mbtl2
ENSRNOG00000007029	ENSG00000086061	Dnaja1
ENSRNOG00000013336	ENSG00000082068	Wdr70
ENSRNOG00000015514	ENSG00000060982	Bcat1
ENSRNOG00000027451	ENSG00000127720	Mettl25
ENSRNOG00000025594	ENSG00000261678	Scrt1
ENSRNOG00000005144	ENSG00000151353	Tmem18
ENSRNOG00000026462	ENSG00000164104	Hmgb2-ps6
ENSRNOG00000009422	ENSG00000117305	Hmgcl
ENSRNOG00000004861	ENSG00000115232	Itga4
ENSRNOG00000014961	ENSG00000162493	Pdpn
ENSRNOG00000024140	ENSG00000198818	Sft2d1
ENSRNOG00000023162	ENSG00000118298	Car14
ENSRNOG00000053698	ENSG00000201811	LOC120102609
ENSRNOG00000007775	ENSG00000162368	Cmpk1
ENSRNOG00000068417	ENSG00000222592	Rnu6-604
ENSRNOG00000068417	ENSG00000199594	Rnu6-604
ENSRNOG00000017246	ENSG00000164113	Adad1
ENSRNOG00000020169	ENSG00000171115	Gimap8
ENSRNOG00000024631	ENSG00000100399	Chadl
ENSRNOG00000024620	ENSG00000165072	Mamdc2
ENSRNOG00000065711	ENSG00000243896	Or2a7
ENSRNOG00000065711	ENSG00000180658	Or2a7
ENSRNOG00000016128	ENSG00000160959	Lrrc14
ENSRNOG00000024796	ENSG00000130764	Lrrc47
ENSRNOG00000062882	ENSG00000164683	Hey1
ENSRNOG00000068524	ENSG00000213741	LOC108349831
ENSRNOG00000013992	ENSG00000101246	Arfrp1
ENSRNOG00000006878	ENSG00000091138	Slc26a3
ENSRNOG00000026981	ENSG00000170265	Zfp282
ENSRNOG00000022268	ENSG00000100344	Pnpla3
ENSRNOG00000032994	ENSG00000142661	Myom3
ENSRNOG00000017348	ENSG00000109471	Il2
ENSRNOG00000037030	ENSG00000204518	Aadacl4
ENSRNOG00000007707	ENSG00000181444	Zfp467
ENSRNOG00000015202	ENSG00000101152	Dnajc5
ENSRNOG00000026096	ENSG00000237110	Taar9
ENSRNOG00000018749	ENSG00000142959	Best4
ENSRNOG00000069618	ENSG00000153060	RGD1565057
ENSRNOG00000042261	ENSG00000143321	Hdgf
ENSRNOG00000007254	ENSG00000133985	Ttc9
ENSRNOG00000008931	ENSG00000183032	Slc25a21
ENSRNOG00000064935	ENSG00000101391	
ENSRNOG00000025720	ENSG00000106410	Nobox
ENSRNOG00000030212	ENSG00000188452	Cerkl
ENSRNOG00000012415	ENSG00000060762	Mpc1
ENSRNOG00000024012	ENSG00000157911	Pex10
ENSRNOG00000004183	ENSG00000133773	Ccdc59
ENSRNOG00000007671	ENSG00000122692	Smu1
ENSRNOG00000022393	ENSG00000131944	Faap24
ENSRNOG00000062917	ENSG00000146385	Taar8c
ENSRNOG00000016505	ENSG00000198780	Fam169a
ENSRNOG00000004538	ENSG00000100425	Brd1
ENSRNOG00000016204	ENSG00000254402	Lrrc24
ENSRNOG00000033000	ENSG00000239810	Oog3
ENSRNOG00000033000	ENSG00000204501	Oog3
ENSRNOG00000033000	ENSG00000229571	Oog3
ENSRNOG00000033000	ENSG00000187545	Oog3
ENSRNOG00000033000	ENSG00000243073	Oog3
ENSRNOG00000033000	ENSG00000270601	Oog3
ENSRNOG00000033000	ENSG00000279804	Oog3
ENSRNOG00000033000	ENSG00000116721	Oog3
ENSRNOG00000033000	ENSG00000279169	Oog3
ENSRNOG00000033000	ENSG00000204505	Oog3
ENSRNOG00000033000	ENSG00000204480	Oog3
ENSRNOG00000033000	ENSG00000280267	Oog3
ENSRNOG00000033000	ENSG00000204481	Oog3
ENSRNOG00000033000	ENSG00000204510	Oog3
ENSRNOG00000033000	ENSG00000120952	Oog3
ENSRNOG00000033000	ENSG00000116726	Oog3
ENSRNOG00000033000	ENSG00000237700	Oog3
ENSRNOG00000033000	ENSG00000182330	Oog3
ENSRNOG00000033000	ENSG00000274764	Oog3
ENSRNOG00000033000	ENSG00000204479	Oog3
ENSRNOG00000033000	ENSG00000232423	Oog3
ENSRNOG00000033000	ENSG00000204478	Oog3
ENSRNOG00000011705	ENSG00000104435	Stmn2
ENSRNOG00000070320	ENSG00000146385	Taar8a
ENSRNOG00000067933	ENSG00000181939	Or4c121
ENSRNOG00000052563	ENSG00000238795	LOC120102747
ENSRNOG00000010275	ENSG00000101194	Slc17a9
ENSRNOG00000006711	ENSG00000170260	Zfp212
ENSRNOG00000004205	ENSG00000162878	Pkdcc
ENSRNOG00000062852	ENSG00000221970	Or2a51
ENSRNOG00000062852	ENSG00000212807	Or2a51
ENSRNOG00000013309	ENSG00000155629	Pik3ap1
ENSRNOG00000005609	ENSG00000162992	Neurod1
ENSRNOG00000006749	ENSG00000139324	Tmtc3
ENSRNOG00000068599	ENSG00000213563	MGC94207
ENSRNOG00000019236	ENSG00000187147	Rnf220
ENSRNOG00000060559	ENSG00000239002	Scarna10
ENSRNOG00000070876	ENSG00000221970	Or2a57
ENSRNOG00000070876	ENSG00000212807	Or2a57
ENSRNOG00000067390	ENSG00000181961	Or4a77b
ENSRNOG00000016665	ENSG00000163870	Tpra1
ENSRNOG00000031093	ENSG00000073146	Mov10l1
ENSRNOG00000012964	ENSG00000112486	Ccr6
ENSRNOG00000021129	ENSG00000166398	Garre1
ENSRNOG00000014270	ENSG00000157916	Rer1
ENSRNOG00000067154	ENSG00000237254	
ENSRNOG00000060614	ENSG00000130508	Pxdn
ENSRNOG00000015736	ENSG00000162496	Dhrs3
ENSRNOG00000069529	ENSG00000181961	Or4a81
ENSRNOG00000016961	ENSG00000177954	Rps27
ENSRNOG00000004199	ENSG00000131467	AABR07062753.1
ENSRNOG00000039559	ENSG00000164970	Fam219a
ENSRNOG00000004103	ENSG00000182400	Trappc6b
ENSRNOG00000060449	ENSG00000171858	Rps21
ENSRNOG00000006617	ENSG00000174469	Cntnap2
ENSRNOG00000068198	ENSG00000262874	C1H19orf84
ENSRNOG00000010239	ENSG00000169714	Cnbp
ENSRNOG00000013053	ENSG00000119121	Trpm6
ENSRNOG00000016566	ENSG00000147799	Arhgap39
ENSRNOG00000009629	ENSG00000104267	Car2
ENSRNOG00000004591	ENSG00000182858	Alg12
ENSRNOG00000006231	ENSG00000151490	Ptpro
ENSRNOG00000011066	ENSG00000145495	Marchf6
ENSRNOG00000000001	ENSG00000180801	Arsj
ENSRNOG00000056358	ENSG00000162592	Ccdc27
ENSRNOG00000019843	ENSG00000126091	St3gal3
ENSRNOG00000014235	ENSG00000197114	Zgpat
ENSRNOG00000017441	ENSG00000143549	Tpm3
ENSRNOG00000006228	ENSG00000155660	Pdia4
ENSRNOG00000039869	ENSG00000135569	Taar5
ENSRNOG00000007690	ENSG00000134326	Cmpk2
ENSRNOG00000025317	ENSG00000152133	Gpatch11
ENSRNOG00000066331	ENSG00000142677	Il22ra1
ENSRNOG00000070245	ENSG00000189068	Vstm1
ENSRNOG00000007811	ENSG00000111796	Klrb1c
ENSRNOG00000054497	ENSG00000130699	Taf4
ENSRNOG00000008978	ENSG00000183665	Trmt12
ENSRNOG00000065555	ENSG00000001630	
ENSRNOG00000035451	ENSG00000207691	Mir3553
ENSRNOG00000068663	ENSG00000197617	Vom1r97
ENSRNOG00000016930	ENSG00000108106	Ube2s
ENSRNOG00000016917	ENSG00000188037	Clcn1
ENSRNOG00000012348	ENSG00000178896	Exosc4
ENSRNOG00000058714	ENSG00000134545	Klre1
ENSRNOG00000058714	ENSG00000183542	Klre1
ENSRNOG00000058714	ENSG00000205810	Klre1
ENSRNOG00000058714	ENSG00000205809	Klre1
ENSRNOG00000055061	ENSG00000196378	LOC100361693
ENSRNOG00000026124	ENSG00000117318	Id3
ENSRNOG00000063469	ENSG00000283745	Mir196b
ENSRNOG00000023208	ENSG00000164976	Myorg
ENSRNOG00000004646	ENSG00000115705	Tpo
ENSRNOG00000014296	ENSG00000110975	Syt10
ENSRNOG00000004914	ENSG00000215113	LOC500876
ENSRNOG00000004914	ENSG00000283599	LOC500876
ENSRNOG00000004914	ENSG00000215115	LOC500876
ENSRNOG00000068719	ENSG00000199043	rno-mir-335
ENSRNOG00000016733	ENSG00000143545	Rab13
ENSRNOG00000067584	ENSG00000197617	Vom1r92
ENSRNOG00000049336	ENSG00000203896	Lime1
ENSRNOG00000056458	ENSG00000198707	Cep290
ENSRNOG00000025030	ENSG00000169598	Dffb
ENSRNOG00000040346	ENSG00000284191	Mir671
ENSRNOG00000060597	ENSG00000117614	Syf2
ENSRNOG00000029336	ENSG00000167384	Zfp180
ENSRNOG00000036462	ENSG00000208014	Mir653
ENSRNOG00000064505	ENSG00000168939	Spry3-ps1
ENSRNOG00000004061	ENSG00000100941	Pnn
ENSRNOG00000005506	ENSG00000050327	Arhgef5
ENSRNOG00000062943	ENSG00000171357	Lurap1
ENSRNOG00000038600	ENSG00000167646	Dnaaf3
ENSRNOG00000017939	ENSG00000128656	Chn1
ENSRNOG00000010438	ENSG00000205560	Cpt1b
ENSRNOG00000036272	ENSG00000207597	Mir490
ENSRNOG00000010589	ENSG00000173545	Zfp622
ENSRNOG00000026316	ENSG00000163811	Wdr43
ENSRNOG00000007341	ENSG00000101353	Mroh8
ENSRNOG00000011586	ENSG00000163660	Ccnl1
ENSRNOG00000017808	ENSG00000163884	Klf15
ENSRNOG00000008082	ENSG00000182732	Rgs6
ENSRNOG00000018309	ENSG00000111642	Chd4
ENSRNOG00000051420	ENSG00000149679	Cables2
ENSRNOG00000009385	ENSG00000105851	Pik3cg
ENSRNOG00000023531	ENSG00000171217	Cldn20
ENSRNOG00000012004	ENSG00000165006	Ubap1
ENSRNOG00000069601	ENSG00000237388	Or4a47
ENSRNOG00000016379	ENSG00000143543	Jtb
ENSRNOG00000070681	ENSG00000148303	
ENSRNOG00000035587	ENSG00000207713	Mir3575
ENSRNOG00000014592	ENSG00000130584	Zbtb46
ENSRNOG00000021463	ENSG00000186951	Ppara
ENSRNOG00000018250	ENSG00000129991	Tnni3
ENSRNOG00000029280	ENSG00000197858	Gpaa1
ENSRNOG00000009284	ENSG00000129514	Foxa1
ENSRNOG00000029022	ENSG00000062370	Zfp112
ENSRNOG00000014642	ENSG00000116151	Morn1
ENSRNOG00000027278	ENSG00000239810	Pramef8
ENSRNOG00000027278	ENSG00000204501	Pramef8
ENSRNOG00000027278	ENSG00000229571	Pramef8
ENSRNOG00000027278	ENSG00000187545	Pramef8
ENSRNOG00000027278	ENSG00000243073	Pramef8
ENSRNOG00000027278	ENSG00000270601	Pramef8
ENSRNOG00000027278	ENSG00000279804	Pramef8
ENSRNOG00000027278	ENSG00000116721	Pramef8
ENSRNOG00000027278	ENSG00000279169	Pramef8
ENSRNOG00000027278	ENSG00000204505	Pramef8
ENSRNOG00000027278	ENSG00000204480	Pramef8
ENSRNOG00000027278	ENSG00000280267	Pramef8
ENSRNOG00000027278	ENSG00000204481	Pramef8
ENSRNOG00000027278	ENSG00000204510	Pramef8
ENSRNOG00000027278	ENSG00000120952	Pramef8
ENSRNOG00000027278	ENSG00000116726	Pramef8
ENSRNOG00000027278	ENSG00000237700	Pramef8
ENSRNOG00000027278	ENSG00000182330	Pramef8
ENSRNOG00000027278	ENSG00000274764	Pramef8
ENSRNOG00000027278	ENSG00000204479	Pramef8
ENSRNOG00000027278	ENSG00000232423	Pramef8
ENSRNOG00000027278	ENSG00000204478	Pramef8
ENSRNOG00000050123	ENSG00000125965	Gdf5
ENSRNOG00000036271	ENSG00000207656	Mir489
ENSRNOG00000057245	ENSG00000130701	Rbbp8nl
ENSRNOG00000064083	ENSG00000228567	Vom1r17
ENSRNOG00000005947	ENSG00000139053	Pde6h
ENSRNOG00000021184	ENSG00000072518	Mark2
ENSRNOG00000012847	ENSG00000268320	Scgb1c1
ENSRNOG00000012847	ENSG00000188076	Scgb1c1
ENSRNOG00000035598	ENSG00000207705	Mir129-1
ENSRNOG00000019956	ENSG00000066135	Kdm4a
ENSRNOG00000023493	ENSG00000143578	Creb3l4
ENSRNOG00000016062	ENSG00000101400	Snta1
ENSRNOG00000011404	ENSG00000100288	Chkb
ENSRNOG00000025108	ENSG00000198483	Ankrd35
ENSRNOG00000068776	ENSG00000138279	
ENSRNOG00000046475	ENSG00000199085	Mir148a
ENSRNOG00000043059	ENSG00000169621	Aplf
ENSRNOG00000014970	ENSG00000117245	Kif17
ENSRNOG00000016543	ENSG00000158022	Trim63
ENSRNOG00000008479	ENSG00000183023	Slc8a1
ENSRNOG00000012735	ENSG00000186638	Kif24
ENSRNOG00000052405	ENSG00000179242	Cdh4
ENSRNOG00000065539	ENSG00000114978	Mob1a-ps1
ENSRNOG00000035624	ENSG00000199158	Mir96
ENSRNOG00000064679	ENSG00000181961	Or4a77e
ENSRNOG00000012858	ENSG00000177947	Odf3
ENSRNOG00000004928	ENSG00000172554	Sntg2
ENSRNOG00000051237	ENSG00000166783	Marf1-ps1
ENSRNOG00000007668	ENSG00000182759	Mafa
ENSRNOG00000004612	ENSG00000213639	Ppp1cb
ENSRNOG00000035463	ENSG00000283797	Mir29b1
ENSRNOG00000015359	ENSG00000124143	Arhgap40
ENSRNOG00000011216	ENSG00000177565	Tbl1xr1
ENSRNOG00000062804	ENSG00000172208	
ENSRNOG00000048961	ENSG00000123095	Bhlhe41
ENSRNOG00000047874	ENSG00000101158	Nelfcd
ENSRNOG00000009354	ENSG00000198435	Nrarp
ENSRNOG00000036461	ENSG00000207692	Mir592
ENSRNOG00000026033	ENSG00000181786	Actl9b
ENSRNOG00000022791	ENSG00000139865	Ttc6
ENSRNOG00000032009	ENSG00000164123	LOC499643
ENSRNOG00000010894	ENSG00000187713	Tmem203
ENSRNOG00000017087	ENSG00000117643	Man1c1
ENSRNOG00000066572	ENSG00000077782	
ENSRNOG00000034290	ENSG00000137077	Ccl21
ENSRNOG00000063462	ENSG00000212127	Tas2r140
ENSRNOG00000005655	ENSG00000165078	Cpa6
ENSRNOG00000028941	ENSG00000132846	Zbed3
ENSRNOG00000015762	ENSG00000114626	Abtb1
ENSRNOG00000025949	ENSG00000228567	Vom1r22
ENSRNOG00000033173	ENSG00000180043	Garin5b
ENSRNOG00000065868	ENSG00000187612	Or5w17
ENSRNOG00000021143	ENSG00000143379	Setdb1
ENSRNOG00000040284	ENSG00000233198	Rnf224
ENSRNOG00000014856	ENSG00000139163	Etnk1
ENSRNOG00000029095	ENSG00000170638	Trabd
ENSRNOG00000068364	ENSG00000256537	Smim10l1
ENSRNOG00000029535	ENSG00000185189	Nrbp2
ENSRNOG00000068100	ENSG00000159915	Zfp235
ENSRNOG00000006973	ENSG00000133641	RGD1307947
ENSRNOG00000007253	ENSG00000105879	Cbll1
ENSRNOG00000050697	ENSG00000101160	Ctsz
ENSRNOG00000027305	ENSG00000106355	Lsm5
ENSRNOG00000068412	ENSG00000075426	Fosl2
ENSRNOG00000038095	ENSG00000242715	Ccdc169
ENSRNOG00000070725	ENSG00000167552	
ENSRNOG00000063732	ENSG00000189060	H1f0
ENSRNOG00000042556	ENSG00000136997	Bmyc
ENSRNOG00000020884	ENSG00000013725	Cd6
ENSRNOG00000015476	ENSG00000158062	Ubxn11
ENSRNOG00000060120	ENSG00000073169	Selenoo
ENSRNOG00000001548	ENSG00000116044	Nfe2l2
ENSRNOG00000068732	ENSG00000228567	
ENSRNOG00000009790	ENSG00000171303	Kcnk3
ENSRNOG00000000129	ENSG00000122733	Phf24
ENSRNOG00000046151	ENSG00000101162	Tubb1
ENSRNOG00000004843	ENSG00000148229	Pole3
ENSRNOG00000027833	ENSG00000052795	Fnip2
ENSRNOG00000016255	ENSG00000114631	Podxl2
ENSRNOG00000007405	ENSG00000133619	Krba1
ENSRNOG00000025000	ENSG00000116198	Cep104
ENSRNOG00000009302	ENSG00000183309	Zfp623
ENSRNOG00000070034	ENSG00000206199	Ankub1
ENSRNOG00000056783	ENSG00000110848	Cd69
ENSRNOG00000058692	ENSG00000091137	Slc26a4
ENSRNOG00000022490	ENSG00000178741	LOC100361008
ENSRNOG00000063144	ENSG00000159915	Znf235-ps1
ENSRNOG00000013463	ENSG00000121361	Kcnj8
ENSRNOG00000007603	ENSG00000146276	Gabrr1
ENSRNOG00000020020	ENSG00000166272	Wbp1l
ENSRNOG00000071050	ENSG00000196378	LOC102555644
ENSRNOG00000024846	ENSG00000188483	Ier5l
ENSRNOG00000015967	ENSG00000142669	Sh3bgrl3
ENSRNOG00000025285	ENSG00000164347	Gfm2
ENSRNOG00000006028	ENSG00000128159	Tubgcp6
ENSRNOG00000005703	ENSG00000066777	Arfgef1
ENSRNOG00000007907	ENSG00000152154	Tmem178a
ENSRNOG00000016989	ENSG00000175283	Dolk
ENSRNOG00000030264	ENSG00000180921	Fam83h
ENSRNOG00000066193	ENSG00000106479	Zfp862
ENSRNOG00000005660	ENSG00000184731	Fam110c
ENSRNOG00000007492	ENSG00000118705	Rpn2
ENSRNOG00000036913	ENSG00000174718	Resf1
ENSRNOG00000013734	ENSG00000122735	Dnai1
ENSRNOG00000007646	ENSG00000197555	Sipa1l1
ENSRNOG00000008733	ENSG00000170860	Lsm3
ENSRNOG00000046473	ENSG00000188710	Qrfp
ENSRNOG00000015425	ENSG00000117155	Ssx2ip
ENSRNOG00000008218	ENSG00000171130	Atp6v0e2
ENSRNOG00000026387	ENSG00000071203	Ms4a12
ENSRNOG00000024905	ENSG00000157856	Drc1
ENSRNOG00000014599	ENSG00000174953	Dhx36
ENSRNOG00000052945	ENSG00000124299	AABR07002969.1
ENSRNOG00000006828	ENSG00000198604	Baz1a
ENSRNOG00000067028	ENSG00000198918	LOC103695152
ENSRNOG00000025934	ENSG00000180697	LOC685964
ENSRNOG00000013267	ENSG00000130589	Helz2
ENSRNOG00000017367	ENSG00000151846	Pabpc6
ENSRNOG00000043300	ENSG00000168913	Enho
ENSRNOG00000046439	ENSG00000167987	Vps37c
ENSRNOG00000026569	ENSG00000196378	LOC102555377
ENSRNOG00000026037	ENSG00000163803	Plb1
ENSRNOG00000064516	ENSG00000188636	Rtl6
ENSRNOG00000008288	ENSG00000135334	Akirin2
ENSRNOG00000004353	ENSG00000139220	Ppfia2
